upazila81,factory91,factory01,factory05,subdiv81,district81,subdiv61,pop81,nonRiverareaSQKM,hindu81,literacy81,primary81,madrasa81,metalledroad81,kutcha81,roof_bamboo81,hh81,agrolandowner81,urbanpop81,occ_hh81,occ_culti81,occ_mfg81
golapganj,0,0,0,sylhet sadar,sylhet,sylhet sadar,190963,261,9890,24,21190,23050,37,277,18585,29720,14329,6593,47892,22511,606
gomastapur,0,0,0,nawabganj,rajshahi,nawabganj,153833,347,12248,17,18217,884,3,48,17478,25367,10660,7185,47513,22964,716
gopalganj,0,0,0,gopalganj,faridpur,gopalganj,273986,368,108730,31,27040,4200,,,21517,44949,32748,18238,67991,45135,1142
gopalpur,0,0,0,tangail,tangail,tangail,205025,205,9402,19,20331,1536,27,224,18117,35222,25113,31725,55229,39653,585
gournadi,0,0,0,barisal sadar(north),barisal,barisal sadar north,300359,300,99010,34,32927,11939,52,282,24809,55615,43899,26658,82165,51240,2241
gowainghat,0,0,0,sylhet sadar,sylhet,sylhet sadar,160893,546,15012,11,4600,2500,44,167,23147,26683,16618,1314,41851,33675,1734
gurudaspur,0,0,0,natore,rajshahi,natore,135899,197,9828,17,10498,2200,15,64,12034,21170,13955,,32011,29513,377
habiganj,0,0,0,hobiganj,sylhet,habiganj,178713,237,24789,24,14524,550,121,322,19830,31178,18600,23677,45925,27275,446
"haimchar,",0,0,0,chandpur,comilla,,94033,103,6836,21,7932,1313,,22,9505,18093,12101,453,25524,18192,671
hajigan-j,0,0,0,chandpur,comilla,cbandpur,221176,188,19650,30,20830,2858,29,450,9928,39408,30057,20843,56507,25366,2087
hakimpur,0,0,0,dinajpur,dinajpur,dinajpur sadar,54502,100,3044,25,5040,1035,18,179,8155,10609,6243,4855,14790,9219,61
haluachat,0,0,0,mymensinch sadar north,mymensinch,mymensiogh sadar north,167070,301,6975,16,7800,800,19,241,25757,30872,19543,6793,40304,33771,323
harinakunda,0,0,0,jhenaidah,jessore,jhenaidah,126903,221,12759,15,8010,225,39,2280,11465,19705,13168,11985,32152,25034,139
haripur,0,0,0,thakurgaon,dinajpur,thakurgaon,78507,217,8085,15,5218,950,2,599,12940,14192,9070,3210,21941,15027,38
harirampur,0,0,0,manikganj,dhaka,manikcganj,162373,211,27831,22,19800,,10,11,10917,29191,17484,11567,46782,26445,852
hathazari,1,1,0,ctg sadar north,chittagong,chittagong sadar north,290044,246,27789,37,31059,2894,68,362,22799,43841,20272,,75937,17486,9022
hatibandha,0,0,0,lalmonirhat,rangpur,rangpur sadar,140582,278,22840,17,11155,175,16,499,22065,25042,16733,13740,35572,33634,498
hatiya,0,0,0,noakhali sadar,noakhali,noakhali sadar,234869,582,31189,17,3665,25275,11,922,32339,39069,20752,13775,48662,19111,2116
hizla,0,0,0,barisal sadar(north),barisal,barisal sadar north,155025,226,5990,25,9000,1000,5,241,18264,27754,17783,7917,37735,39487,444
homna,0,0,0,comilla sadar (north),comilla,comilla sadar north,199103,152,14065,15,10300,252,1,285,5998,34868,23666,4447,50119,30031,1341
hossainpur,0,0,0,kishoreganj,mymensinch,kishoreganj,131234,119,1676,15,5526,3052,11,122,16459,24130,17339,11983,34038,29250,179
iakhai,0,0,0,hobiganj,sylhet,habiganj,90309,181,16416,14,7715,300,,40,10703,16315,10533,4501,25908,17502,105
indurkani,0,0,0,perojpur,barisal,,81951,87,9254,37,6223,1750,18,121,10349,14038,7663,4412,22757,11271,314
ishaurdi,0,0,0,pabna sadar,pabna,pabna,204845,244,8566,24,17043,2050,5633,724,15914,32034,12652,72123,44366,19526,4002
islampur,0,0,0,jamalpur,jamalpur,jamalpur,221114,340,3666,12,13249,1077,2,851,30663,40760,24444,48214,57370,47457,588
iswarcanj,0,0,0,mymensinch sadar north,mymensinch,mymensiogh sadar north,274694,275,11979,16,16053,2250,2414,547,35309,49724,35573,16820,71970,55097,161
itna,0,0,0,kishoreganj,mymensinch,kishoreganj,154088,459,30799,12,7150,1300,,161,14907,24370,15468,15032,39180,39299,72
jannathpur,0,0,0,sunamganj,sylhet,sunamganj,163450,359,18492,19,18407,12677,5,68,12565,23796,12465,2499,41470,31277,135
jaintiapur,0,0,0,sylhet sadar,sylhet,sylhet sadar,55614,199,5973,15,4891,235,26,40,7821,9197,5676,4022,15630,11056,1126
jaldhaka,0,0,0,nilphamari,rangpur,nilphamari,199226,313,51480,13,29900,4050,32,483,33417,38199,24921,4085,52578,46501,143
jamalganj,0,0,0,sunamganj,sylhet,sunamganj,94641,273,21211,16,5809,884,,68,10450,14385,9002,13393,23673,22593,123
jamalpur,0,0,0,jamalpur,jamalpur,jamalpur,4240891,449,10458,20,29751,1972,54,95,47625,73781,45546,16881,107565,73301,1234
jhalakathi,0,0,0,jhalokati,barisal,,179326,194,44529,43,26851,610,48,531,14624,30392,19530,32539,46274,19719,2683
jhenaidah,0,0,0,jhenaidah,jessore,jhenaidah,272514,465,45831,22,28975,8035,47,922,26571,41874,27917,47953,66629,46669,1325
jhenaigati,0,0,0,sherpur,jamalpur,jamalpur,113410,210,5427,12,8344,,21,201,18768,22598,14149,4931,28918,22482,42
jhikargacha,0,0,0,jessore sadar,jessore,jessore sadar,190060,298,13054,21,15540,460,58,687,20398,29933,19681,19405,47348,34519,1554
jibannagar,0,0,0,chuadanga,kushtia,chuadanga,97972,196,3730,16,9040,350,34,140,13143,15387,9284,12330,24569,19707,323
joypurhat,0,0,0,joypurhat,bogra,bogra sadar,194040,238,27273,25,13353,7400,111,264,23518,34594,23211,37122,50832,36622,2561
juraichhari,0,0,0,rangamati,chittagong ht,,107791,605,101,15,1138,,,74,1739,1764,1231,2160,2579,3340,56
kachua,0,0,0,chandpur,comilla,cbandpur,240396,235,22056,24,18209,,16,113,20182,41908,34718,9314,65705,39250,460
kachua,0,0,0,bagerhat,khulna,bagerhat,77623,111,22583,39,14702,582,34,220,11058,13986,9780,7346,22394,12888,105
kahaloo,0,0,0,bogra sadar,bogra,bogra sadar,141298,238,9906,24,12606,1300,24,903,15234,26138,18047,3143,38773,21044,513
kaharole,0,0,0,dinajpur,dinajpur,dinajpur sadar,93423,217,44268,17,7925,2222,16,566,14708,16850,10840,1140,24973,23299,206
kalai,0,0,0,joypurhat,bogra,bogra sadar,94129,,4647,18,,,,,10881,17604,11956,2675,25900,18479,58
kalapara,0,0,0,patuakhali,patuakhali,patuakhali,124362,322,8615,30,15189,1701,16,338,17652,20103,12585,15421,30691,16974,471
kalaroa,0,0,0,satkhira,khulna,satkhira,150835,230,10972,22,11655,3600,97,381,12203,24426,15876,8424,40116,31386,489
kalia,0,0,0,narail,jessore,narail,191664,300,53923,23,14699,676,14,251,18557,32263,20762,22046,49659,32543,1948
kaliajuri,0,0,0,netrokona,mymensinch,netrakona,68688,282,28354,15,11000,100,,56,6898,10403,6560,3903,16777,18300,30
kaliganj,0,0,0,gazipur,dhaka,dacca sadar north,169028,188,23855,27,15163,,6,243,13428,29143,22700,10186,42153,26413,7624
kaliganj,0,0,0,jhenaidah,jessore,jhenaidah,178508,304,39244,22,15609,700,39,251,17926,27313,18536,17934,44256,32058,1440
kaliganj,0,0,0,satkhira,khulna,satkhira,202316,321,49668,27,15134,3982,66,217,33131,34860,20237,10398,54437,31970,307
kaliganj,0,0,0,lalmonirhat,rangpur,rangpur sadar,157067,225,36842,18,9503,1680,10,1054,25279,29103,19462,11571,42620,35737,110
kalihati,0,0,0,tangail,tangail,tangail,286192,290,31786,19,57445,610,2,462,18353,48649,32459,8133,75982,48842,8768
kalkini,0,0,0,madaripur,faridpur,madaripur,230210,258,38780,21,21700,6760,56,171,20939,40505,29874,4221,67665,41473,329
kalmakanda,0,0,0,netrokona,mymensinch,netrakona,171077,407,24562,16,13283,1446,483,129,26534,30493,20102,2019,43624,40728,65
kamalganj,0,0,0,moulvieazar,sylhet,moulvibazar,168581,722,64732,22,27277,256,11,129,22223,28055,14051,16230,39207,30638,9851
kamarkandi,0,0,0,serajganj,pabna,serajganj,85557,90,6250,19,8557,488,2092,84,5798,14575,9835,6159,21899,14472,2308
kanaighat,0,0,0,sylhet sadar,sylhet,sylhet sadar,143003,394,6569,14,8384,2460,24,169,17612,23467,14547,2742,41865,25994,169
kapasia,0,0,0,gazipur,dhaka,dacca sadar north,250998,344,15990,25,35040,,5,497,23755,42732,37640,3416,65148,54663,491
karimganj,0,0,0,kishoreganj,mymensinch,kishoreganj,199729,187,2627,14,7700,500,14,50,29555,39920,23846,12589,50866,41199,289
kasba,0,0,0,brahmanbaria,comilla,brahmanbaria,187921,201,12087,23,13641,645,50,219,18332,31724,22781,3085,44874,32895,469
kasiani,0,0,0,gopalganj,faridpur,gopalganj,203648,299,70786,29,23333,1055,3379,127,18660,33591,25450,2412,51021,39461,1368
kathalia,0,0,0,jhalokati,barisal,,104705,145,19439,46,14141,750,10,666,11061,20466,14448,6509,29466,16905,247
katladi,0,0,0,kishoreganj,mymensinch,kishoreganj,213480,220,10629,15,11591,1976,3541,333,29279,46120,30737,4849,57999,45491,598
kaunia,0,0,0,rangpur sadar,rangpur,rangpur sadar,136521,144,11967,17,11832,1866,23,145,16363,23781,12699,8061,30598,22174,8313
kawkhali (betbunia),0,0,0,rangamati,chittagong ht,,26103,301,499,15,2532,336,18,99,4496,4732,2585,4023,7269,4946,401
kazipur,0,0,0,serajganj,pabna,serajganj,213885,294,8035,15,26505,970,3379,32,18831,36999,29232,10051,56882,46373,655
kendua,0,0,0,netrokona,mymensinch,netrakona,233109,325,11270,15,14962,2077,31,431,31586,44736,31400,3906,59139,53697,189
keshabpur,0,0,0,jessore sadar,jessore,jessore sadar,171499,255,39440,23,14363,1075,74,175,19684,30630,23459,15993,45849,36780,281
khagrachhari,0,0,0,khagrachhari,chittagong ht,,46238,338,12927,21,3700,197,,64,6644,7001,3659,20855,9108,7942,62
khansama,0,0,0,dinajpur,dinajpur,dinajpur sadar,99794,176,30395,18,8894,804,8,663,15796,18093,11245,4976,28225,20578,81
khetlal,0,0,0,joypurhat,bogra,bogra sadar,76532,309,7561,19,9150,2006,56,77,8583,14127,10048,7329,22511,14836,101
khoksa,0,0,0,kushtia sadar,kushtia,kuslitia sadar,81879,93,17150,19,7070,641,14,64,7189,13172,6544,6562,20620,12051,240
khulna  [sma],0,0,0,,khulna,,,,,,,,,,,,,652000,,,
kishoreganj,0,0,0,kishoreganj,mymensinch,kishoreganj,240411,179,16789,23,14532,1427,9817,113,28202,42363,22527,52802,59495,33592,1409
kishoreganj,0,0,0,nilphamari,rangpur,nilphamari,201880,261,32245,14,13692,1276,21,956,30744,39146,26573,3914,52908,49647,225
kotchandpur,0,0,0,jhenaidah,jessore,jhenaidah,92311,164,13301,20,6760,545,14,933,10504,14186,9407,20594,23085,15828,314
kotwali,0,0,0,mymensinch sadar south,mymensinch,myrnensingh sadar south,446529,355,34507,29,27737,4500,23335,20590,41471,77263,35594,190911,96098,43667,6704
kotwali,0,0,0,sylhet sadar,sylhet,sylhet sadar,442829,528,41637,31,43805,1500,124,563,28467,63661,22744,168371,94985,44392,10314
kotwali,0,0,0,barisal sadar(south),barisal,barisal  sadar south,340841,264,31030,48,36720,1482,143,587,23630,52222,26458,172905,73798,23138,5162
kotwali,0,0,0,comilla sadar (south),comilla,comilla sadar south,415885,289,29425,34,33720,3005,137,298,34885,63782,35760,184132,90972,41344,5664
kotwali,0,0,0,dinajpur,dinajpur,dinajpur sadar,282008,356,49262,34,33797,2725,126,671,27685,47822,20171,96718,63293,35192,2886
kotwali,0,0,0,jessore sadar,jessore,jessore sadar,414728,441,48300,34,34999,2025,114,542,36963,63248,30636,148927,94066,45346,6581
kotwali,0,0,0,rangpur sadar,rangpur,rangpur sadar,384711,320,41877,29,29505,8248,124,515,41742,65775,30004,153174,84949,50302,4551
kotwali para,0,0,0,gopalganj,faridpur,,179845,392,102132,27,19214,767,3,142,17601,30800,26385,5893,45915,37032,214
