upazila81,factory91,factory01,factory05,subdiv81,district81,subdiv61,pop81,nonRiverareaSQKM,hindu81,literacy81,primary81,madrasa81,metalledroad81,kutcha81,roof_bamboo81,hh81,agrolandowner81,urbanpop81,occ_hh81,occ_culti81,occ_mfg81
nageswari,0,0,0,kurigram,rangpur,kurigram,235338,388,16928,15,16529,4145,2,483,36415,41063,27795,30531,,,
naichity,0,0,0,jhalokati,barisal,,179523,220,13602,38,31783,2928,5,848,14016,32258,23126,4638,46700,22034,1111
naikhongchhari,0,0,0,lama,bandarban,bandarban,27187,177,206,14,2489,202,,3520,4802,4874,2685,6340,6643,6258,5
nakhla,0,0,0,sherpur,jamalpur,jamalpur,135065,174,3300,17,10215,403,6,98,19219,25582,16891,8183,30783,25401,238
nalitabari,0,0,0,sherpur,jamalpur,jamalpur,169345,322,9191,15,10114,1287,13,97,26945,32980,19757,1726,41059,30944,265
nandail,0,0,0,mymensinch sadar north,mymensinch,mymensiogh sadar north,284841,323,8084,17,21764,1475,3701,645,35901,50742,37777,12197,75233,58924,248
nandigram,0,0,0,bogra sadar,bogra,bogra sadar,112428,266,16533,24,10500,2457,18,462,11040,18849,14483,2557,31519,24327,165
nannerchar,0,0,0,rangamati,chittagong ht,,24481,386,704,19,2845,400,,80,3846,3969,2729,3655,5523,4964,15
naogaon,0,0,0,naogaon,rajshahi,naogaon,260117,272,26897,26,24265,485,44,583,19780,45423,28017,52975,69549,43817,1288
narail,0,0,0,narail,jessore,narail,219903,376,90216,27,22288,4200,37,412,25486,35268,26650,31032,56212,39889,611
narla,0,0,0,saritpur,faridpur,madaripur,189529,216,12237,21,172260,300,,190,12070,36659,22446,6579,53929,24561,939
nasirnaga,0,0,0,brahmanbaria,comilla,brahmanbaria,194417,293,41321,13,14671,2200,1,113,23351,34340,24254,7950,54639,41926,94
natore,0,0,0,natore,rajshahi,natore,112460,399,31039,25,21514,1090,77,296,25302,43363,25959,31210,67902,49009,1072
nawabganj,0,0,0,dinajpur,dinajpur,dinajpur sadar,140319,315,11834,19,12682,763,26,201,20974,26910,17865,1988,39764,30324,122
nawabganj,0,0,0,nawabganj,rajshahi,nawabganj,315462,373,17004,20,28700,1800,90,531,21948,51426,22089,87724,88783,31357,1587
nazirpur,0,0,0,perojpur,barisal,perojpur,151493,218,67665,37,13702,1760,10,56,21066,27347,21022,2247,39168,28934,265
netrokona,0,0,0,netrokona,mymensinch,netrakona,203540,305,24908,23,14685,1318,483,431,26615,35525,22842,37455,47556,37218,474
niamatpur,0,0,0,naogaon,rajshahi,naogaon,152252,449,32839,21,13035,701,,98,20021,17192,16792,2234,44711,31784,183
nikli,0,0,0,kishoreganj,mymensinch,kishoreganj,139551,273,13596,11,5405,785,2,201,14820,24840,14819,10699,37376,34628,100
nilphamari,0,0,0,nilphamari,rangpur,nilphamari,242133,349,53938,18,18225,2610,58,523,36393,44229,25782,29558,59994,49243,1007
paba,0,0,0,rajshahi sadar,rajshahi,rajslaahi sadar,279871,354,,15,20029,1929,60,776,577,10685,587,,7203,233,1861
pabna,0,0,0,pabna sadar,pabna,pabna,347615,410,14823,23,28160,9300,12714,206,29843,54845,25879,109065,80935,41838,4588
paikgacha,0,0,0,khulna,khulna,khulna,175715,326,70729,24,12000,863,27,113,24622,29229,18743,,46572,28565,274
pakundla,0,0,0,kishoreganj,mymensinch,kishoreganj,173484,178,4655,22,19405,1510,2897,879,17483,31837,24710,6563,45153,39008,990
palash,0,0,0,narsingdi,dhaka,,126105,80,17112,32,,,113,40,7395,20557,13695,63462,29021,14180,12173
palashbari,0,0,0,gaibandha,rangpur,gaibandlia,172247,196,12813,19,14906,2058,35,106,21991,31539,21631,10691,40401,38951,493
palong,0,0,0,saritpur,faridpur,madaripur,145536,168,14176,17,13145,1825,6,978,13439,26336,17091,11876,41134,25974,523
panch bibi,0,0,0,joypurhat,bogra,bogra sadar,154214,278,20057,22,11848,2400,37,552,22790,28338,19130,9142,40565,34466,539
panchagarh,0,0,0,panchagarh,dinajpur,thakurgaon,105710,251,5511,21,10767,200,27,626,17806,19730,10966,13147,28669,21117,209
panchhari,0,0,0,khagrachhari,chittagong ht,,31969,283,4668,17,4356,1000,,32,5582,5701,2852,9608,7228,7038,34
pangsa,0,0,0,gopalpur,faridpur,goalaada,263825,441,38395,18,20671,2053,322,612,26265,41352,26081,10055,67571,52407,970
parbatipur,0,0,0,dinajpur,dinajpur,dinajpur sadar,236943,415,34864,23,23800,1707,34,312,35354,44227,23557,18979,60908,47570,1584
parshuram,0,0,0,feni,noakhali,feni,50495,73,2857,33,4415,385,,1577,5171,8230,5627,6277,13201,9702,176
patgram,0,0,0,lalmonirhat,rangpur,rangpur sadar,122530,253,8166,22,8863,656,,174,16353,19601,11477,6799,31922,28781,58
patharghata,0,0,0,barguna,patuakhali,patuakhali,117597,164,16053,39,12516,2853,11,293,16188,20255,13505,11993,39282,12501,213
patnitola,0,0,0,naogaon,rajshahi,naogaon,153670,377,27816,28,16397,557,39,314,19930,26829,16639,5640,40774,30334,375
patuakhali,0,0,0,patuakhali,patuakhali,patuakhali,266728,354,29252,33,35679,14280,77,705,24879,42886,29957,48121,71064,34586,1879
perojpur,0,0,0,perojpur,barisal,perojpur,111584,135,33348,44,8477,1757,58,303,11844,19211,10813,27531,29743,13324,821
phul bari,0,0,0,dinajpur,dinajpur,dinajpur sadar,92831,193,13451,25,12020,1331,29,328,12359,16376,9190,18965,23797,16498,95
phulpur,0,0,0,mymensinch sadar north,mymensinch,mymensiogh sadar north,406700,601,20192,15,26272,4834,45,1465,59564,77594,52197,9506,98184,83074,355
phultala,0,0,0,khulna,khulna,khulna,90341,73,13733,34,8160,582,109,293,8342,14024,7039,21855,19630,6667,6667
pirgacha,0,0,0,rangpur sadar,rangpur,rangpur sadar,210323,280,20887,17,16559,2041,6,777,31651,39024,23331,10530,51075,42140,191
pirganj,0,0,0,thakurgaon,dinajpur,thakurgaon,168367,382,50158,19,17665,2755,27,439,24003,30217,19543,8437,43428,40726,542
pirganj,0,0,0,rangpur sadar,rangpur,rangpur sadar,240839,407,16988,17,20692,5162,35,1358,31116,44315,28729,3502,60489,54954,236
porsha,0,0,0,naogaon,rajshahi,,80790,252,7901,21,7219,1125,,175,8989,13859,7345,5836,22496,18823,75
purbadhala,0,0,0,netrokona,mymensinch,netrakona,211448,337,14440,16,19301,1587,37,386,30592,38393,22842,6014,56033,49930,233
puthia,0,0,0,rajshahi sadar,rajshahi,rajslaahi sadar,126979,193,9529,16,11922,2037,45,658,12603,20244,13836,4779,32492,27540,649
raiganj,0,0,0,serajganj,pabna,serajganj,181280,263,29070,16,18262,3050,6437,148,18495,31106,20017,4680,49246,38178,620
raipur,0,0,0,lakshmipur,noakhali,noakhali sadar,185852,154,8872,23,18934,2325,23,508,15523,34017,22343,40908,47974,31806,857
rajanagar,0,0,0,moulvieazar,sylhet,moulvibazar,154268,430,41725,21,16297,300,6,243,18557,26780,16934,6587,35901,30074,4867
rajapur,0,0,0,jhalokati,barisal,,123056,156,11559,40,15746,995,19,613,12525,22564,15201,9327,33619,17459,258
rajarhat,0,0,0,kurigram,rangpur,kurigram,132622,192,32047,20,,,,,19457,23241,14913,,35433,27304,56
rajasthali,0,0,0,kaptai,chittagong ht,,11367,125,839,18,787,,,,1916,1963,952,,2861,1631,6
rajbari,0,0,0,gopalpur,faridpur,goalaada,200015,275,25375,23,15999,6000,10,193,19763,34810,20507,38645,51709,30938,1137
rajori,0,0,0,madaripur,faridpur,madaripur,176102,227,67466,20,12314,419,1127,232,14143,31185,22299,13979,48664,34353,393
ramganj,0,0,0,lakshmipur,noakhali,noakhali sadar,197118,168,10409,34,24431,1800,193,806,8289,36104,27929,14994,56739,23409,1318
ramgarh,0,0,0,ramgarh,chittagong ht,ramgarh,48186,312,6434,21,3732,50,24,40,8456,8713,5035,18641,12737,10276,304
ramgati,0,0,0,lakshmipur,noakhali,noakhali sadar,263681,404,18209,15,21105,2732,45,1113,35729,44465,24762,19827,66051,49029,280
rampal,0,0,0,bagerhat,khulna,bagerhat,238954,1503,77493,36,11252,3000,119,444,34848,40890,23231,27266,66106,31588,1011
ramu,0,0,0,cox's bazar,chittagong,cox's bazar,123018,381,5637,12,11009,316,48,71,18150,20552,8181,23127,32059,19227,559
rangamati,0,0,0,rangamati,chittagong ht,rangamati,57449,519,8438,38,5785,191,58,168,7759,9060,3073,36405,11105,4953,198
rangunia,0,0,0,ctg sadar north,chittagong,chittagong sadar north,243819,340,43775,34,26769,4500,124,4353,26497,39323,19099,24381,75802,27655,6326
raninagar,0,0,0,naogaon,rajshahi,naogaon,124187,256,17841,20,13257,245,,351,10972,22120,15677,3644,36536,21412,181
ranisankali,0,0,0,thakurgaon,dinajpur,thakurgaon,123014,283,29051,16,10758,1173,13,187,18611,22472,14215,3417,30837,26356,107
rawzan,0,0,0,ctg sadar north,chittagong,chittagong sadar north,268033,250,60036,35,35992,1448,82,422,24340,42730,22006,20906,92182,17396,3361
rowangchhari,0,0,0,bandarban,bandarban,,15561,169,135,12,2008,,,3040,2531,2546,942,2978,2379,6600,28
rowmari,0,0,0,kurigram,rangpur,kurigram,114564,184,892,12,6944,1143,24,1207,16537,19076,12531,6661,28175,26028,33
ruma,0,0,0,bandarban,bandarban,bandarban,18656,189,356,13,1010,,,416,3035,3079,1163,2334,3692,4952,1
sadarpur,0,0,0,faridpur sadar,faridpur,faidpur sadar,154684,230,14440,16,11707,675,644,290,16773,27599,19771,2941,42569,32348,361
sadullapur,0,0,0,gaibandha,rangpur,gaibandlia,199544,227,21083,20,21647,1050,11,805,27514,36977,23420,7064,49280,43295,266
sahjadpur,0,0,0,serajganj,pabna,serajganj,341806,289,24954,18,51654,2803,3541,121,17852,55718,30804,904,88867,51606,12919
saidpur,0,0,0,nilphamari,rangpur,nilphamari,196285,118,13381,26,7021,350,92,348,19133,33183,10624,126608,42130,14052,7048
sailkupa,0,0,0,jhenaidah,jessore,jhenaidah,253518,360,45284,20,18748,2000,93,777,20288,37863,24466,11048,66587,50341,934
salikha,0,0,0,magura,jessore,magura,110687,225,41004,20,10244,800,13,238,10653,16443,13018,239,28377,21609,470
sandwip,0,0,0,ctg sadar north,chittagong,chittagong sadar north,264188,355,31786,27,25896,917,21,,29269,43426,22765,39628,78197,32500,2229
santhia,0,0,0,pabna sadar,pabna,pabna,213454,352,13277,16,19237,10500,6598,153,19512,33481,21268,792,54668,43927,698
sapahar,0,0,0,naogaon,rajshahi,,85032,245,5492,20,7500,970,3,322,10319,13519,8452,,28851,13152,55
sarail,0,0,0,brahmanbaria,comilla,brahmanbaria,198005,209,20591,15,14854,,26,137,17680,33406,22467,22691,52462,37302,353
saran khola,0,0,0,bagerhat,khulna,bagerhat,85810,721,10003,38,11005,500,,,11810,14267,7595,18371,23150,10673,214
sariakandi,0,0,0,bogra sadar,bogra,bogra sadar,176726,291,6242,18,22959,3939,14,357,16093,33490,21583,8371,44368,38343,235
sarishabari,0,0,0,jamalpur,jamalpur,jamalpur,226664,264,7873,17,15015,761,18,798,25939,41724,27713,2159,58621,46903,2730
satkania,0,0,0,chittagong sadar (patiya),chittagong,chittagong sadar south,247355,269,32169,22,41076,2230,74,499,31038,42970,25255,36361,66656,33352,1105
satkhira,0,0,0,satkhira,khulna,satkhira,245646,372,44646,25,23312,740,106,396,29457,39428,25169,52156,62057,42784,901
saturia,0,0,0,manikganj,dhaka,manikcganj,136642,148,15392,16,7735,,5,270,7521,23924,16519,4987,38800,25231,756
senbug,0,0,0,noakhali sadar,noakhali,noakhali sadar,178178,158,10371,26,2125,15298,129,531,16792,31762,24503,17843,127787,68409,3108
serajgonj,0,0,0,serajganj,pabna,,340147,268,19933,23,35867,1500,76,148,21115,57700,29731,106774,81817,43588,10880
shahrasti,0,0,0,chandpur,comilla,,156399,141,9139,34,15660,1988,21,383,10467,27845,22146,6055,42094,18439,799
shakhipur,0,0,0,tangail,tangail,tangail,171498,404,11109,14,13318,1751,16,64,17432,27610,23145,10179,47160,39683,227
sharsha,0,0,0,jessore sadar,jessore,jessore sadar,192795,334,7548,19,14239,2532,60,406,22654,30208,19310,2231,48191,38761,718
sherpur,0,0,0,bogra sadar,bogra,bogra sadar,172236,293,24362,19,13246,1510,90,402,16810,30508,19842,11161,46116,37908,289
shibchar,0,0,0,madaripur,faridpur,madaripur,268949,281,13354,15,20674,1094,3,148,27661,,34404,6674,75613,53188,502
shibganj,0,0,0,bogra sadar,bogra,bogra sadar,251722,305,14647,19,17369,5900,63,420,26840,44760,29202,5440,67645,53259,337
shibganj,0,0,0,nawabganj,rajshahi,nawabganj,334231,476,13584,14,25669,1820,13,589,25904,50978,28179,9555,94780,44827,1171
shivalaya,0,0,0,manikganj,dhaka,manikcganj,119494,171,22166,21,12818,,18,126,10590,20488,12193,1145,33204,21262,533
shyamnagore,0,0,0,satkhira,khulna,satkhira,228939,1579,69501,23,15341,6000,61,220,37030,38085,21830,5147,64001,41934,223
singra,0,0,0,natore,rajshahi,natore,224850,528,32134,21,25634,1067,31,562,20005,36421,25090,9494,55345,47379,331
sonacazi,0,0,0,feni,noakhali,feni,179563,197,18115,23,16358,1290,257,6516,17501,30982,21734,5470,49886,24411,1433
sonatola,0,0,0,bogra sadar,bogra,bogra sadar,135798,212,7658,19,11876,300,,140,13724,25181,16856,6633,34930,36081,244
sreebardi,0,0,0,sherpur,jamalpur,jamalpur,233885,313,4368,15,16792,1645,16,533,37304,47813,27856,7443,60787,43086,89
sreemangal,0,0,0,moulvieazar,sylhet,moulvibazar,181684,488,88431,22,10455,1895,68,201,26323,32980,12439,25151,34693,21365,12805
sreenagar,0,0,0,munshiganj,dhaka,munshiganj,191063,195,26341,27,23000,,161,101,1,31517,16247,,47629,22417,1003
sreepur,0,0,0,magura,jessore,magura,121691,168,32961,24,12500,350,10,555,11057,18712,12870,3037,31097,22574,150
sughatta,0,0,0,gaibandha,rangpur,gaibandlia,169488,220,13244,18,17466,850,19,140,21979,31613,20247,9349,43346,37011,566
sujanagar,0,0,0,pabna sadar,pabna,pabna,177793,264,17168,18,20319,1350,1931,97,16643,28589,16952,6888,46509,31701,693
sulla,0,0,0,sunamganj,sylhet,sunamganj,70521,242,37501,16,4928,,,19,5591,11515,7823,1371,19767,18812,25
sunamganj,0,0,0,sunamganj,sylhet,sunamganj,244019,535,30772,18,18679,375,72,159,28700,38967,23178,18782,30447,48392,965
sundarban reserve f.a,0,0,0,khulna,khulna,,21624,,44,25,,,,,281,465,304,,151,41,10
sundarganj,0,0,0,gaibandha,rangpur,gaibandlia,310108,413,30405,15,29415,3378,11,258,45744,57927,38184,7551,79146,68263,174
swarupkathi,0,0,0,perojpur,barisal,perojpur,183137,187,61871,44,22921,1650,39,129,21310,34210,19890,32676,47978,18555,865
tahirpur,0,0,0,sunamganj,sylhet,sunamganj,121511,340,17254,14,6414,438,2,44,15267,19568,11976,5545,30818,27798,556
tala,0,0,0,satkhira,khulna,satkhira,221019,326,71397,23,18456,,69,264,26693,37310,27052,3319,58563,47961,393
tanore,0,0,0,rajshahi sadar,rajshahi,rajslaahi sadar,272820,297,12736,20,8778,576,,1188,14817,19701,11369,5533,31114,22028,115
taraganj,0,0,0,rangpur sadar,rangpur,,83509,128,11800,15,7220,1075,16,56,12753,16609,9935,,21176,19519,261
tarail,0,0,0,kishoreganj,mymensinch,kishoreganj,110272,141,6755,14,6491,748,483,364,13569,19067,10839,5536,27821,24179,45
tarash,0,0,0,serajganj,pabna,serajganj,108585,297,13127,18,5012,422,805,106,13365,17925,12989,3552,29362,25677,267
tazumuddin,0,0,0,bhola,barisal,bhola,71065,232,10476,20,8825,830,35,116,9533,12005,7407,11493,16860,13637,76
teknaf,0,0,0,cox's bazar,chittagong,cox's bazar,102710,343,1489,9,5280,1014,72,80,15294,16189,5466,16433,25157,11982,131
terokhada,0,0,0,khulna,khulna,khulna,99726,183,30043,24,10511,835,32,143,9114,16814,12139,9554,25135,20216,461
tetulia,0,0,0,panchagarh,dinajpur,thakurgaon,67425,185,1333,18,6645,451,42,341,11123,12536,7605,2533,16981,14904,92
thakurgaon,0,0,0,thakurgaon,dinajpur,thakurgaon,328453,640,91251,24,28012,858,100,732,49096,59539,38713,33404,79482,69200,2841
thanchi,0,0,0,bandarban,bandarban,,14225,405,261,6,420,,,40,2338,2356,339,1384,2174,1708,152
tongibari,0,0,0,munshiganj,dhaka,munshiganj,169896,161,19633,26,4748,,5,98,5345,27296,16584,1934,40401,26809,946
trisal,0,0,0,mymensinch sadar south,mymensinch,myrnensingh sadar south,217818,247,7454,18,17710,1600,4506,719,26477,38929,27939,25152,52098,39379,474
tungipara,0,0,0,gopalganj,faridpur,,77334,92,31702,26,8134,4000,,415,8582,12999,10018,28183,20462,17081,99
ukhia,0,0,0,cox's bazar,chittagong,cox's bazar,89250,256,2139,11,6679,485,32,254,12945,14004,6095,,23766,12571,103
ulipur,0,0,0,kurigram,rangpur,kurigram,272089,402,24642,16,28821,5097,,805,40735,49383,32496,16359,70745,61165,162
ullahpara,0,0,0,serajganj,pabna,serajganj,313305,412,27096,18,31658,5400,74,547,27665,48857,32672,10382,80004,62345,2879
wazirpur,0,0,0,barisal sadar(south),barisal,barisal sadar north,210437,239,59110,37,23683,1400,13,241,19711,37899,28677,5007,56980,31055,869
zakiganj,0,0,0,sylhet sadar,sylhet,sylhet sadar,163224,270,25937,22,13039,1775,55,587,19083,26739,16513,14084,50674,25905,284
zanjira,0,0,0,saritpur,faridpur,madaripur,161199,165,1645,13,17632,5000,2,179,16015,27413,20997,,45197,32489,317
