Year,Trade Flow,Commodity Code,Commodity,Trade Value (US$)
2005,Import,5516,Woven fabrics of artificial staple fibres.,3322504
2005,Export,5516,Woven fabrics of artificial staple fibres.,870637
2005,Import,60,Knitted or crocheted fabrics,73243551
2005,Export,60,Knitted or crocheted fabrics,7238406
2005,Import,61,"Articles of apparel and clothing accessories, knitted or crocheted",15075677
2005,Export,61,"Articles of apparel and clothing accessories, knitted or crocheted",3346925339
2005,Import,62,"Articles of apparel and clothing accessories, not knitted or crocheted",226205651
2005,Export,62,"Articles of apparel and clothing accessories, not knitted or crocheted",3498608848
2006,Import,5208,"Woven fabrics of cotton, containing 85 % or more by weight of cotton",86851045
2006,Export,5208,"Woven fabrics of cotton, containing 85 % or more by weight of cotton",7674054
2006,Import,5209,"Woven fabrics of cotton, containing 85 % or more by weight of cotton",101241601
2006,Export,5209,"Woven fabrics of cotton, containing 85 % or more by weight of cotton",692102949
2006,Import,5210,"Woven fabrics of cotton, containing less than 85 % by weight of cotton",16770967
2006,Export,5210,"Woven fabrics of cotton, containing less than 85 % by weight of cotton",593450
2006,Import,5211,"Woven fabrics of cotton, containing less than 85 % by weight of cotton",5559509
2006,Export,5211,"Woven fabrics of cotton, containing less than 85 % by weight of cotton",2358496
2006,Import,5212,Other woven fabrics of cotton.,3192327
2006,Export,5212,Other woven fabrics of cotton.,464145
2006,Import,5407,Woven fabrics of synthetic filament yarn,98752070
2006,Export,5407,Woven fabrics of synthetic filament yarn,1839481
2006,Import,5408,Woven fabrics of artificial filament yarn,3067788
2006,Export,5408,Woven fabrics of artificial filament yarn,650429
2006,Import,5512,Woven fabrics of synthetic staple fibres,52837297
2006,Export,5512,Woven fabrics of synthetic staple fibres,329659
2006,Import,5513,Woven fabrics of synthetic staple fibres,39983935
2006,Export,5513,Woven fabrics of synthetic staple fibres,611659
2006,Import,5514,Woven fabrics of synthetic staple fibres,523890037
2006,Export,5514,Woven fabrics of synthetic staple fibres,4014
2006,Import,5515,Other woven fabrics of synthetic staple fibres.,16902811
2006,Export,5515,Other woven fabrics of synthetic staple fibres.,100709
2006,Import,5516,Woven fabrics of artificial staple fibres.,769208
2006,Export,5516,Woven fabrics of artificial staple fibres.,79056
2006,Import,60,Knitted or crocheted fabrics,29239989
2006,Export,60,Knitted or crocheted fabrics,14038582
2006,Import,61,"Articles of apparel and clothing accessories, knitted or crocheted",5126012
2006,Export,61,"Articles of apparel and clothing accessories, knitted or crocheted",4072097406
2006,Import,62,"Articles of apparel and clothing accessories, not knitted or crocheted",156308657
2006,Export,62,"Articles of apparel and clothing accessories, not knitted or crocheted",4179923628
2007,Import,5208,"Woven fabrics of cotton, containing 85 % or more by weight of cotton",151805951
2007,Export,5208,"Woven fabrics of cotton, containing 85 % or more by weight of cotton",14290691
2007,Import,5209,"Woven fabrics of cotton, containing 85 % or more by weight of cotton",131606894
2007,Export,5209,"Woven fabrics of cotton, containing 85 % or more by weight of cotton",12342642
2007,Import,5210,"Woven fabrics of cotton, containing less than 85 % by weight of cotton",23201143
2007,Export,5210,"Woven fabrics of cotton, containing less than 85 % by weight of cotton",707183
2007,Import,5211,"Woven fabrics of cotton, containing less than 85 % by weight of cotton",11699381
2007,Export,5211,"Woven fabrics of cotton, containing less than 85 % by weight of cotton",952158
2007,Import,5212,Other woven fabrics of cotton.,8870307
2007,Export,5212,Other woven fabrics of cotton.,1025393
2007,Import,5407,Woven fabrics of synthetic filament yarn,107120414
2007,Export,5407,Woven fabrics of synthetic filament yarn,10256620
2007,Import,5408,Woven fabrics of artificial filament yarn,2358150
2007,Export,5408,Woven fabrics of artificial filament yarn,393081
2007,Import,5512,Woven fabrics of synthetic staple fibres,62093058
2007,Export,5512,Woven fabrics of synthetic staple fibres,12949266
2007,Import,5513,Woven fabrics of synthetic staple fibres,40319458
2007,Export,5513,Woven fabrics of synthetic staple fibres,1856819
2007,Import,5514,Woven fabrics of synthetic staple fibres,5233519
2007,Export,5514,Woven fabrics of synthetic staple fibres,26175
2007,Import,5515,Other woven fabrics of synthetic staple fibres.,18421480
2007,Export,5515,Other woven fabrics of synthetic staple fibres.,3693530
2007,Import,5516,Woven fabrics of artificial staple fibres.,1563763
2007,Export,5516,Woven fabrics of artificial staple fibres.,194287
2007,Import,60,Knitted or crocheted fabrics,36672634
2007,Export,60,Knitted or crocheted fabrics,15906389
2007,Import,61,"Articles of apparel and clothing accessories, knitted or crocheted",4571987
2007,Export,61,"Articles of apparel and clothing accessories, knitted or crocheted",4734698171
2007,Import,62,"Articles of apparel and clothing accessories, not knitted or crocheted",185081546
2007,Export,62,"Articles of apparel and clothing accessories, not knitted or crocheted",4588550374
1989,Import,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",31225882
1989,Export,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",146952
1989,Import,5209,"Woven cotton nes, >85% cotton, >200g/m2",32464819
1989,Export,5209,"Woven cotton nes, >85% cotton, >200g/m2",171502
1989,Import,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",1499069
1989,Export,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",46955
1989,Import,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",9132879
1989,Export,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",39949
1989,Import,5212,"Woven cotton fabric, nes",8568193
1989,Import,5407,"Woven synthetic filament yarn, monofilament >67dtex",17796293
1989,Import,5408,"Woven fabric of artificial filament, monofilament yar",519847
1989,Import,5512,Woven fabric with >85% synthetic staple fibres,1475140
1989,Export,5512,Woven fabric with >85% synthetic staple fibres,4261
1989,Import,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",29896505
1989,Import,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",55074712
1989,Export,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",6804
1989,Import,5515,"Woven fabric of synthetic staple fibres, nes",1332408
1989,Import,5516,Woven fabric <85% artificial staple fibre,691087
1989,Import,60,Knitted or crocheted fabric,21920077
1989,Export,60,Knitted or crocheted fabric,165799
1989,Import,61,"Articles of apparel, accessories, knit or crochet",3272737
1989,Export,61,"Articles of apparel, accessories, knit or crochet",38995060
1989,Import,62,"Articles of apparel, accessories, not knit or crochet",423176
1989,Export,62,"Articles of apparel, accessories, not knit or crochet",410483856
1990,Import,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",69519530
1990,Export,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",285754
1990,Import,5209,"Woven cotton nes, >85% cotton, >200g/m2",8511313
1990,Export,5209,"Woven cotton nes, >85% cotton, >200g/m2",9753
1990,Import,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",1122780
1990,Import,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",10159261
1990,Export,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",543546
1990,Import,5212,"Woven cotton fabric, nes",11981979
1990,Import,5407,"Woven synthetic filament yarn, monofilament >67dtex",40632767
1990,Import,5408,"Woven fabric of artificial filament, monofilament yar",783809
1990,Import,5512,Woven fabric with >85% synthetic staple fibres,8647115
1990,Import,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",49364980
1990,Export,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",23694
1990,Import,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",72681534
1990,Export,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",30130
1990,Import,5515,"Woven fabric of synthetic staple fibres, nes",3717925
1990,Export,5515,"Woven fabric of synthetic staple fibres, nes",73275
1990,Import,5516,Woven fabric <85% artificial staple fibre,881134
1990,Import,60,Knitted or crocheted fabric,19766899
1990,Import,61,"Articles of apparel, accessories, knit or crochet",12451385
1990,Export,61,"Articles of apparel, accessories, knit or crochet",86517102
1990,Import,62,"Articles of apparel, accessories, not knit or crochet",750522
1990,Export,62,"Articles of apparel, accessories, not knit or crochet",556435179
1991,Import,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",75702113
1991,Export,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",35358
1991,Import,5209,"Woven cotton nes, >85% cotton, >200g/m2",6964126
1991,Import,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",1603482
1991,Import,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",20353110
1991,Export,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",50091
1991,Import,5212,"Woven cotton fabric, nes",23728819
1991,Import,5407,"Woven synthetic filament yarn, monofilament >67dtex",55476664
1991,Import,5408,"Woven fabric of artificial filament, monofilament yar",3727839
1991,Import,5512,Woven fabric with >85% synthetic staple fibres,14012313
1991,Import,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",48903200
1991,Import,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",71650682
1991,Import,5515,"Woven fabric of synthetic staple fibres, nes",4448075
1991,Export,5515,"Woven fabric of synthetic staple fibres, nes",105
1991,Import,5516,Woven fabric <85% artificial staple fibre,2064403
1991,Import,60,Knitted or crocheted fabric,22985540
1991,Import,61,"Articles of apparel, accessories, knit or crochet",7855026
1991,Export,61,"Articles of apparel, accessories, knit or crochet",152276422
1991,Import,62,"Articles of apparel, accessories, not knit or crochet",472719
1991,Export,62,"Articles of apparel, accessories, not knit or crochet",687361669
1992,Import,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",86328272
1992,Export,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",106957
1992,Import,5209,"Woven cotton nes, >85% cotton, >200g/m2",12948368
1992,Import,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",1424349
1992,Export,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",593
1992,Import,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",29871958
1992,Import,5212,"Woven cotton fabric, nes",63990608
1992,Export,5212,"Woven cotton fabric, nes",6897
1992,Import,5407,"Woven synthetic filament yarn, monofilament >67dtex",62639924
1992,Export,5407,"Woven synthetic filament yarn, monofilament >67dtex",10368
1992,Import,5408,"Woven fabric of artificial filament, monofilament yar",8960062
1992,Import,5512,Woven fabric with >85% synthetic staple fibres,14177041
1992,Import,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",54546956
1992,Import,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",86230912
1992,Export,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",82230
1992,Import,5515,"Woven fabric of synthetic staple fibres, nes",9493355
1992,Export,5515,"Woven fabric of synthetic staple fibres, nes",2221
1992,Import,5516,Woven fabric <85% artificial staple fibre,2142829
1992,Import,60,Knitted or crocheted fabric,41175128
1992,Export,60,Knitted or crocheted fabric,39359
1992,Import,61,"Articles of apparel, accessories, knit or crochet",5481337
1992,Export,61,"Articles of apparel, accessories, knit or crochet",185949312
1992,Import,62,"Articles of apparel, accessories, not knit or crochet",703456
1992,Export,62,"Articles of apparel, accessories, not knit or crochet",854740416
1993,Import,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",77388922
1993,Export,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",263822
1993,Import,5209,"Woven cotton nes, >85% cotton, >200g/m2",41231993
1993,Import,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",1078373
1993,Import,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",44398417
1993,Export,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",191478
1993,Import,5212,"Woven cotton fabric, nes",62529682
1993,Export,5212,"Woven cotton fabric, nes",61768
1993,Import,5407,"Woven synthetic filament yarn, monofilament >67dtex",68067126
1993,Export,5407,"Woven synthetic filament yarn, monofilament >67dtex",106779
1993,Import,5408,"Woven fabric of artificial filament, monofilament yar",6749697
1993,Import,5512,Woven fabric with >85% synthetic staple fibres,9931551
1993,Import,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",34733923
1993,Import,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",102855617
1993,Export,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",11751
1993,Import,5515,"Woven fabric of synthetic staple fibres, nes",5602250
1993,Export,5515,"Woven fabric of synthetic staple fibres, nes",83329
1993,Import,5516,Woven fabric <85% artificial staple fibre,976059
1993,Import,60,Knitted or crocheted fabric,42502406
1993,Import,61,"Articles of apparel, accessories, knit or crochet",2320734
1993,Export,61,"Articles of apparel, accessories, knit or crochet",227295728
1993,Import,62,"Articles of apparel, accessories, not knit or crochet",1345907
1993,Export,62,"Articles of apparel, accessories, not knit or crochet",1078276379
1994,Export,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",102865
1994,Export,5209,"Woven cotton nes, >85% cotton, >200g/m2",9206
1994,Export,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",84057
1994,Export,5212,"Woven cotton fabric, nes",99209
1994,Export,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",508800
1994,Export,5515,"Woven fabric of synthetic staple fibres, nes",240216
1994,Export,61,"Articles of apparel, accessories, knit or crochet",262901744
1994,Export,62,"Articles of apparel, accessories, not knit or crochet",1213726464
1995,Import,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",132349756
1995,Export,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",5960624
1995,Import,5209,"Woven cotton nes, >85% cotton, >200g/m2",153700519
1995,Export,5209,"Woven cotton nes, >85% cotton, >200g/m2",2949594
1995,Import,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",4704933
1995,Import,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",97974907
1995,Export,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",291115
1995,Import,5212,"Woven cotton fabric, nes",325552424
1995,Export,5212,"Woven cotton fabric, nes",12279
1995,Import,5407,"Woven synthetic filament yarn, monofilament >67dtex",103297715
1995,Export,5407,"Woven synthetic filament yarn, monofilament >67dtex",128953
1995,Import,5408,"Woven fabric of artificial filament, monofilament yar",20092530
1995,Import,5512,Woven fabric with >85% synthetic staple fibres,35254578
1995,Import,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",64181083
1995,Import,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",108456910
1995,Export,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",2637162
1995,Import,5515,"Woven fabric of synthetic staple fibres, nes",5343852
1995,Export,5515,"Woven fabric of synthetic staple fibres, nes",2800643
1995,Import,5516,Woven fabric <85% artificial staple fibre,11063374
1995,Export,5516,Woven fabric <85% artificial staple fibre,72625
1995,Import,60,Knitted or crocheted fabric,89314523
1995,Export,60,Knitted or crocheted fabric,5223938
1995,Import,61,"Articles of apparel, accessories, knit or crochet",56468438
1995,Export,61,"Articles of apparel, accessories, knit or crochet",406227451
1995,Import,62,"Articles of apparel, accessories, not knit or crochet",42569503
1995,Export,62,"Articles of apparel, accessories, not knit or crochet",1562456094
1996,Import,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",131281611
1996,Export,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",6459367
1996,Import,5209,"Woven cotton nes, >85% cotton, >200g/m2",127063522
1996,Export,5209,"Woven cotton nes, >85% cotton, >200g/m2",946814
1996,Import,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",5376266
1996,Export,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",7308
1996,Import,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",23353969
1996,Export,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",549616
1996,Import,5212,"Woven cotton fabric, nes",158949919
1996,Export,5212,"Woven cotton fabric, nes",80026
1996,Import,5407,"Woven synthetic filament yarn, monofilament >67dtex",114254774
1996,Export,5407,"Woven synthetic filament yarn, monofilament >67dtex",55598
1996,Import,5408,"Woven fabric of artificial filament, monofilament yar",17365486
1996,Import,5512,Woven fabric with >85% synthetic staple fibres,41867331
1996,Export,5512,Woven fabric with >85% synthetic staple fibres,7389
1996,Import,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",55016747
1996,Export,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",68809
1996,Import,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",73360176
1996,Export,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",2532862
1996,Import,5515,"Woven fabric of synthetic staple fibres, nes",6368088
1996,Export,5515,"Woven fabric of synthetic staple fibres, nes",24200266
1996,Import,5516,Woven fabric <85% artificial staple fibre,9621960
1996,Import,60,Knitted or crocheted fabric,118823307
1996,Export,60,Knitted or crocheted fabric,3300369
1996,Import,61,"Articles of apparel, accessories, knit or crochet",95884915
1996,Export,61,"Articles of apparel, accessories, knit or crochet",559439651
1996,Import,62,"Articles of apparel, accessories, not knit or crochet",56503193
1996,Export,62,"Articles of apparel, accessories, not knit or crochet",1658742322
1997,Import,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",96619705
1997,Export,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",8499985
1997,Import,5209,"Woven cotton nes, >85% cotton, >200g/m2",32593727
1997,Export,5209,"Woven cotton nes, >85% cotton, >200g/m2",1299252
1997,Import,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",5960267
1997,Import,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",5807819
1997,Export,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",1997
1997,Import,5212,"Woven cotton fabric, nes",6780817
1997,Export,5212,"Woven cotton fabric, nes",352177
1997,Import,5407,"Woven synthetic filament yarn, monofilament >67dtex",46923079
1997,Export,5407,"Woven synthetic filament yarn, monofilament >67dtex",162539
1997,Import,5408,"Woven fabric of artificial filament, monofilament yar",485660
1997,Import,5512,Woven fabric with >85% synthetic staple fibres,16995013
1997,Export,5512,Woven fabric with >85% synthetic staple fibres,60244
1997,Import,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",14604101
1997,Export,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",191906
1997,Import,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",3923415
1997,Export,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",3348234
1997,Import,5515,"Woven fabric of synthetic staple fibres, nes",5376871
1997,Export,5515,"Woven fabric of synthetic staple fibres, nes",31554846
1997,Import,5516,Woven fabric <85% artificial staple fibre,3283707
1997,Import,60,Knitted or crocheted fabric,33818551
1997,Import,61,"Articles of apparel, accessories, knit or crochet",5665855
1997,Export,61,"Articles of apparel, accessories, knit or crochet",763065828
1997,Import,62,"Articles of apparel, accessories, not knit or crochet",27682391
1997,Export,62,"Articles of apparel, accessories, not knit or crochet",1925158433
1998,Import,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",139514463
1998,Export,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",8141906
1998,Import,5209,"Woven cotton nes, >85% cotton, >200g/m2",164345860
1998,Export,5209,"Woven cotton nes, >85% cotton, >200g/m2",1702918
1998,Import,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",4894336
1998,Import,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",33082861
1998,Export,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",8944
1998,Import,5212,"Woven cotton fabric, nes",126927272
1998,Export,5212,"Woven cotton fabric, nes",1329262
1998,Import,5407,"Woven synthetic filament yarn, monofilament >67dtex",185025078
1998,Export,5407,"Woven synthetic filament yarn, monofilament >67dtex",296657
1998,Import,5408,"Woven fabric of artificial filament, monofilament yar",15706089
1998,Export,5408,"Woven fabric of artificial filament, monofilament yar",12666
1998,Import,5512,Woven fabric with >85% synthetic staple fibres,63700965
1998,Export,5512,Woven fabric with >85% synthetic staple fibres,1700
1998,Import,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",73462143
1998,Export,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",173171
1998,Import,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",86577308
1998,Export,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",2958308
1998,Import,5515,"Woven fabric of synthetic staple fibres, nes",11516062
1998,Export,5515,"Woven fabric of synthetic staple fibres, nes",29685883
1998,Import,5516,Woven fabric <85% artificial staple fibre,9705443
1998,Import,60,Knitted or crocheted fabric,94234578
1998,Export,60,Knitted or crocheted fabric,5149574
1998,Import,61,"Articles of apparel, accessories, knit or crochet",2548238
1998,Export,61,"Articles of apparel, accessories, knit or crochet",964313829
1998,Import,62,"Articles of apparel, accessories, not knit or crochet",57819553
1998,Export,62,"Articles of apparel, accessories, not knit or crochet",2819630884
2000,Import,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",139563410
2000,Export,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",10489487
2000,Import,5209,"Woven cotton nes, >85% cotton, >200g/m2",120199916
2000,Export,5209,"Woven cotton nes, >85% cotton, >200g/m2",2263017
2000,Import,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",9108202
2000,Import,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",6500313
2000,Export,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",8497
2000,Import,5212,"Woven cotton fabric, nes",118593413
2000,Export,5212,"Woven cotton fabric, nes",5434277
2000,Import,5407,"Woven synthetic filament yarn, monofilament >67dtex",178457481
2000,Export,5407,"Woven synthetic filament yarn, monofilament >67dtex",6232731
2000,Import,5408,"Woven fabric of artificial filament, monofilament yar",6519366
2000,Import,5512,Woven fabric with >85% synthetic staple fibres,153364204
2000,Export,5512,Woven fabric with >85% synthetic staple fibres,267843
2000,Import,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",92457913
2000,Export,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",528586
2000,Import,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",47847109
2000,Export,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",270874
2000,Import,5515,"Woven fabric of synthetic staple fibres, nes",18879549
2000,Import,5516,Woven fabric <85% artificial staple fibre,6216861
2000,Export,5516,Woven fabric <85% artificial staple fibre,4227907
2000,Import,60,Knitted or crocheted fabric,67037344
2000,Export,60,Knitted or crocheted fabric,5545728
2000,Import,61,"Articles of apparel, accessories, knit or crochet",19720249
2000,Export,61,"Articles of apparel, accessories, knit or crochet",1199485982
2000,Import,62,"Articles of apparel, accessories, not knit or crochet",149235600
2000,Export,62,"Articles of apparel, accessories, not knit or crochet",2920524425
2001,Import,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",116088957
2001,Export,5208,"Woven cotton fabric, >85% cotton, < 200g/m2",4737921
2001,Import,5209,"Woven cotton nes, >85% cotton, >200g/m2",154378915
2001,Export,5209,"Woven cotton nes, >85% cotton, >200g/m2",2430729
2001,Import,5210,"Woven cotton, <85% cotton with manmade fibre,<200g/m2",9907987
2001,Import,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",6717171
2001,Export,5211,"Woven fabric, <85% cotton with manmade fibre,>200g/m2",7367
2001,Import,5212,"Woven cotton fabric, nes",180233409
2001,Export,5212,"Woven cotton fabric, nes",17813273
2001,Import,5407,"Woven synthetic filament yarn, monofilament >67dtex",174054240
2001,Export,5407,"Woven synthetic filament yarn, monofilament >67dtex",13737400
2001,Import,5408,"Woven fabric of artificial filament, monofilament yar",10219884
2001,Import,5512,Woven fabric with >85% synthetic staple fibres,186935243
2001,Export,5512,Woven fabric with >85% synthetic staple fibres,170490
2001,Import,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",109888301
2001,Export,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",1928928
2001,Import,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",43642837
2001,Export,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleache",80802
2001,Import,5515,"Woven fabric of synthetic staple fibres, nes",18229890
2001,Export,5515,"Woven fabric of synthetic staple fibres, nes",108776
2001,Import,5516,Woven fabric <85% artificial staple fibre,2531152
2001,Export,5516,Woven fabric <85% artificial staple fibre,526887
2001,Import,60,Knitted or crocheted fabric,78996326
2001,Export,60,Knitted or crocheted fabric,18021453
2001,Import,61,"Articles of apparel, accessories, knit or crochet",5948550
2001,Export,61,"Articles of apparel, accessories, knit or crochet",1281533792
2001,Import,62,"Articles of apparel, accessories, not knit or crochet",187236230
2001,Export,62,"Articles of apparel, accessories, not knit or crochet",2757655123
