"machine","capacity","bgmea_num","fac_type","upazila","date_est","exist91","exist00","upaz2011","parent","ipum2011"
NA,NA,13,0.5,"motijheel",1985,1,1,"302654","030026","030026054"
45,"150000",1932,1,"narayanganj sadar",1994,0,1,"306758","030067","030067058"
60,"175000",1972,1,"narayanganj sadar",1994,0,1,"306758","030067","030067058"
36,"45000",1554,1,"pallabi",1992,0,1,"302664","030026","030026064"
75,"720000",1151,1,"gulshan",1990,1,1,"302626","030026","030026026"
100,"48000",1234,0.5,"kadam tali",1991,1,1,"302632","030026","030026032"
125,"60000",991,0.5,"gulshan",1990,1,1,"302626","030026","030026026"
46,"84000",1000,1,"pallabi",1990,1,1,"302664","030026","030026064"
161,"36000",2085,1,"mirpur",1995,0,1,"302648","030026","030026048"
38,"165000",2807,1,"narayanganj sadar",1999,0,1,"306758","030067","030067058"
NA,NA,2357,1,"sher-e-bangla nagar",1996,0,1,"302680","030026","030026080"
104,"36000",213,0.5,"shahbag",1986,1,1,"302675","030026","030026075"
56,"96000",1756,0,"kafrul",1993,0,1,"302630","030026","030026030"
159,"50000",545,0,"bangshal",1988,1,1,"302605","030026","030026005"
80,"50000",3139,0,"mohammadpur",2000,0,1,"302650","030026","030026050"
128,"70000",512,0,"mohammadpur",1987,1,1,"302650","030026","030026050"
130,"900000",1431,0,"mohammadpur",1992,0,1,"302650","030026","030026050"
49,"60000",3187,1,"savar",2000,0,1,"302672","030026","030026072"
167,"135000",1613,0.5,"gulshan",1993,0,1,"302626","030026","030026026"
40,"90000",1761,1,"narayanganj sadar",1993,0,1,"306758","030067","030067058"
35,NA,1798,0,"gendaria",1994,0,1,"302624","030026","030026024"
89,NA,2967,0,"sher-e-bangla nagar",1999,0,1,"302680","030026","030026080"
102,"240000",722,1,"mirpur",1988,1,1,"302648","030026","030026048"
375,"50000",1825,1,"mirpur",1994,0,1,"302648","030026","030026048"
196,"77000",669,0.5,"double mooring",1988,1,1,"201528","020015","020015028"
45,"100000",1427,1,"mohammadpur",1992,0,1,"302650","030026","030026050"
230,"50000",292,1,"mirpur",1986,1,1,"302648","030026","030026048"
61,NA,2730,1,"paltan",1998,0,1,"302665","030026","030026065"
72,NA,2820,1,"narayanganj sadar",1999,0,1,"306758","030067","030067058"
120,"36000",1035,1,"kotwali-dhk",1990,1,1,"302640","030026","030026040"
70,NA,2786,0.5,"gazipur sadar",1998,0,1,"303330","030033","030033030"
118,"15000",1601,0,"mirpur",1993,0,1,"302648","030026","030026048"
278,"777600",773,0.5,"mirpur",1989,1,1,"302648","030026","030026048"
125,"25000",126,0,"mirpur",1986,1,1,"302648","030026","030026048"
145,"40100",1915,0,"mirpur",1994,0,1,"302648","030026","030026048"
200,"50000",1207,0,"kalabagan",1991,1,1,"302633","030026","030026033"
125,"157000",1646,0,"dhanmondi",1993,0,1,"302616","030026","030026016"
120,"40000",52,0.5,"paltan",1985,1,1,"302665","030026","030026065"
100,"30000",1539,1,"darus salam",1992,0,1,"302611","030026","030026011"
26,"46800",2387,1,"tejgaon",1996,0,1,"302690","030026","030026090"
150,"75000",133,0.5,"chak bazar",1986,1,1,"302609","030026","030026009"
NA,NA,227,0.5,"mirpur",1986,1,1,"302648","030026","030026048"
122,NA,3158,0,"tejgaon",2000,0,1,"302690","030026","030026090"
125,NA,2852,0,"mirpur",1999,0,1,"302648","030026","030026048"
350,"20000",574,1,"dhanmondi",1988,1,1,"302616","030026","030026016"
300,"50000",1641,1,"motijheel",1993,0,1,"302654","030026","030026054"
138,"288000",747,1,"pallabi",1989,1,1,"302664","030026","030026064"
NA,NA,3015,0,"kafrul",2000,0,1,"302630","030026","030026030"
NA,NA,960,0.5,"pallabi",1990,1,1,"302664","030026","030026064"
120,"60000",101,0.5,"ramna",1985,1,1,"302666","030026","030026066"
120,"50000",139,0,"mirpur",1986,1,1,"302648","030026","030026048"
300,"100000",1536,0.5,"khilgaon",1992,0,1,"302636","030026","030026036"
80,"12000",1352,0,"tejgaon",1991,1,1,"302690","030026","030026090"
45,"32000",770,1,"pallabi",1989,1,1,"302664","030026","030026064"
185,"48000",1314,1,"kalabagan",1991,1,1,"302633","030026","030026033"
200,"36000",2226,1,"gulshan",1996,0,1,"302626","030026","030026026"
140,"30000",301,0,"uttara, bimanbandar",1986,1,1,"302695","030026","030026095"
100,"10000",104,0,"paltan",1985,1,1,"302665","030026","030026065"
60,"180000",1949,1,"rampura",1994,0,1,"302667","030026","030026067"
NA,NA,923,0.5,"kafrul",1989,1,1,"302630","030026","030026030"
93,"200000",3059,1,"gazipur sadar",2000,0,1,"303330","030033","030033030"
NA,NA,2040,0.5,"uttara, bimanbandar",1995,0,1,"302695","030026","030026095"
6,"150000",1551,1,"uttara, bimanbandar",1992,0,1,"302695","030026","030026095"
159,"36000",1247,0,"mirpur",1991,1,1,"302648","030026","030026048"
60,"120000",779,1,"ramna",1989,1,1,"302666","030026","030026066"
240,"240000",2223,1,"bhaluka",1996,0,1,"306113","030061","030061013"
25,"108000",1834,1,"narayanganj sadar",1994,0,1,"306758","030067","030067058"
167,"30000",109,0.5,"uttara, bimanbandar",1985,1,1,"302695","030026","030026095"
150,"48000",843,0.5,"gazipur sadar",1989,1,1,"303330","030033","030033030"
172,"70000",443,0,"uttara, bimanbandar",1987,1,1,"302695","030026","030026095"
69,"120000",1777,1,"uttara, bimanbandar",1994,0,1,"302695","030026","030026095"
85,"160000",1785,1,"narayanganj sadar",1994,0,1,"306758","030067","030067058"
33,NA,2998,0.5,"narayanganj sadar",1999,0,1,"306758","030067","030067058"
65,"35000",237,0.5,"ramna",1986,1,1,"302666","030026","030026066"
248,"20000",612,0,"mirpur",1988,1,1,"302648","030026","030026048"
95,NA,2587,1,"pallabi",1997,0,1,"302664","030026","030026064"
95,"84000",614,0.5,"motijheel",1988,1,1,"302654","030026","030026054"
NA,NA,1068,0.5,"mirpur",1990,1,1,"302648","030026","030026048"
350,"40000",685,1,"patenga",1988,1,1,"201565","020015","020015065"
215,"5000",1716,1,"pallabi",1993,0,1,"302664","030026","030026064"
165,"30000",2308,0,"mirpur",1996,0,1,"302648","030026","030026048"
155,"75000",520,1,"mirpur",1987,1,1,"302648","030026","030026048"
170,"1000000",2021,0,"gulshan",1995,0,1,"302626","030026","030026026"
