"bgmea_num","capacity","machine","fac_type","upazila","date_est","exist05","upaz2011","parent"
2809,NA,90,1,"narayanganj sadar",1998,1,306758,30067
2837,90000,256,1,"rupganj",1998,1,306768,30067
856,156000,92,0.5,"kaliakair",1991,1,303332,30033
3139,50000,80,0,"mohammadpur",2000,1,302650,30026
661,85000,135,0.5,"chak bazar",1987,1,302609,30026
760,130000,75.5,1,"rupganj",1992,1,306768,30067
1322,NA,224.4716134,0,"tejgaon industrial area",1992,1,302692,30026
512,70000,128,0,"mohammadpur",1987,1,302650,30026
3085,1200000,656.5,1,"kaliakair",2000,1,303332,30033
1276,1250000,875,1,"kaliakair",1992,1,303332,30033
435,24000,135,0,"gulshan",1985,1,302626,30026
2624,2e+05,140,0,"kaliakair",1998,1,303332,30033
350,110000,375,0,"khilgaon",1985,1,302636,30026
1316,156000,195.5,0,"gulshan",1992,1,302626,30026
1263,75000,280.5,0,"mirpur",1991,1,302648,30026
1168,78000,190.5,0.5,"paltan",1992,1,302665,30026
116,96000,110,0,"new market",1985,1,302663,30026
2280,40000,80,0.5,"badda",1996,1,302604,30026
1997,48000,300,1,"tejgaon industrial area",1995,1,302692,30026
2779,48000,160,0,"uttara, bimanbandar",1998,1,302695,30026
3153,150000,119,0.5,"tejgaon industrial area",2000,1,302692,30026
1431,9e+05,130,0,"mohammadpur",1992,1,302650,30026
889,1400000,200,0,"adabor",1991,1,302602,30026
3030,250000,154.5,1,"mirpur",1999,1,302648,30026
2930,30000,158,1,"dakshinkhan",1999,1,302610,30026
1663,30000,128,0,"rampura",1993,1,302667,30026
2417,64500,254,1,"gazipur sadar",1996,1,303330,30033
1650,NA,325,0,"mohammadpur",1993,1,302650,30026
2297,2e+05,450,0,"tejgaon industrial area",1996,1,302692,30026
819,120000,126,1,"rampura",1991,1,302667,30026
3072,50000,109.5,0,"gulshan",2000,1,302626,30026
1827,1e+05,545,1,"rupganj",1994,1,306768,30067
1799,1e+05,119,0,"rampura",1994,1,302667,30026
2816,3e+05,342,0,"gazipur sadar",1998,1,303330,30033
85,120000,227.5,0,"rupganj",1985,1,306768,30067
2456,250000,165,0,"mirpur",1997,1,302648,30026
1613,135000,167,0.5,"gulshan",1993,1,302626,30026
2339,120000,105,1,"gazipur sadar",1996,1,303330,30033
3190,202800,299,0,"pallabi",2000,1,302664,30026
2494,NA,60,1,"narayanganj sadar",1997,1,306758,30067
1761,90000,40,1,"narayanganj sadar",1993,1,306758,30067
804,36000,100,0,"kafrul",1991,1,302630,30026
468,50000,105,0,"rampura",1984,1,302667,30026
1261,120000,169,1,"gazipur sadar",1992,1,303330,30033
1252,360000,500,0,"tejgaon industrial area",1992,1,302692,30026
3019,105000,175,0,"dakshinkhan",1999,1,302610,30026
3047,105000,175,0,"dakshinkhan",2000,1,302610,30026
1177,18000,90,0,"rampura",1991,1,302667,30026
9,84000,142.5,0,"gulshan",1985,1,302626,30026
2450,72000,346,0,"rampura",1998,1,302667,30026
359,156000,260,0,"mirpur",1985,1,302648,30026
2763,150000,200,1,"gazipur sadar",1998,1,303330,30033
3084,26000,130,1,"savar",1996,1,302672,30026
2751,450000,190.5,1,"narayanganj sadar",1998,1,306758,30067
412,150000,198,0,"tejgaon industrial area",1985,1,302692,30026
2967,NA,89,0,"sher-e-bangla nagar",1999,1,302680,30026
2188,120000,193,0.5,"uttar khan",1995,1,302696,30026
74,62400,147,0,"ramna",1984,1,302666,30026
2957,70000,167.6192883,0,"bhaluka",1999,1,306113,30061
471,1e+06,195.1192883,0,"mirpur",1985,1,302648,30026
1784,80000,200,0,"pallabi",1994,1,302664,30026
1744,90000,132,1,"narayanganj sadar",1994,1,306758,30067
487,70000,145.6192883,0,"savar",1985,1,302672,30026
722,240000,102,1,"mirpur",1988,1,302648,30026
1006,75000,135,0,"sher-e-bangla nagar",1992,1,302680,30026
2141,40000,117.5,0,"motijheel",1995,1,302654,30026
1825,14000,262.5,1,"mirpur",1994,1,302648,30026
2009,666667,27,1,"kaliakair",1995,1,303332,30033
3037,1520000,75,1,"dhanmondi",1999,1,302616,30026
549,120000,317.5,0,"sher-e-bangla nagar",1984,1,302680,30026
634,25000,250,0,"mohammadpur",1986,1,302650,30026
3104,20000,89,0,"mirpur",2000,1,302648,30026
214,72000,130,0,"tejgaon industrial area",1985,1,302692,30026
292,50000,230,1,"mirpur",1986,1,302648,30026
2995,30000,124,0,"pallabi",1999,1,302664,30026
1965,1e+05,200,0,"pallabi",1995,1,302664,30026
2820,NA,72,1,"narayanganj sadar",1999,1,306758,30067
1612,30000,76,0,"mirpur",1993,1,302648,30026
280,75000,175,0.5,"narayanganj sadar",1985,1,306758,30067
1995,250000,141,0.5,"mirpur",1995,1,302648,30026
1508,70000,350,1,"chandanaish",1993,1,201518,20015
2852,NA,125,0,"mirpur",1999,1,302648,30026
1533,80000,60,0.5,"narayanganj sadar",1993,1,306758,30067
88,120000,119,0,"mirpur",1985,1,302648,30026
1641,5000,300,1,"motijheel",1993,1,302654,30026
2370,175000,525,0,"mirpur",1996,1,302648,30026
596,1e+05,300,0,"mirpur",1986,1,302648,30026
2595,60000,188,0,"mirpur",1998,1,302648,30026
5,25000,85,0,"new market",1985,1,302663,30026
1028,1e+05,195,0,"gazipur sadar",1991,1,303330,30033
2666,45000,112,0,"savar",1998,1,302672,30026
910,360000,120,1,"narayanganj sadar",1991,1,306758,30067
1992,3e+05,85,1,"narayanganj sadar",1995,1,306758,30067
99,470000,338.5,0,"pallabi",1985,1,302664,30026
1355,78000,300,0,"savar",1993,1,302672,30026
2431,78000,150,1,"savar",1997,1,302672,30026
3007,30000,132.5,1,"savar",1994,1,302672,30026
1035,36000,120,1,"kotwali-dhk",1990,1,302640,30026
855,150000,212.5,1,"savar",1991,1,302672,30026
2731,80000,89.5,0,"savar",1998,1,302672,30026
2786,NA,70,0.5,"gazipur sadar",1998,1,303330,30033
1601,15000,118,0,"mirpur",1993,1,302648,30026
773,777600,278,0.5,"mirpur",1989,1,302648,30026
2828,36000,162,1,"khilkhet",1998,1,302637,30026
1130,70000,215,1,"pallabi",1992,1,302664,30026
2219,20834,227,0,"mirpur",1995,1,302648,30026
721,230000,937,0,"uttara, bimanbandar",1989,1,302695,30026
1207,25000,147.5,0,"kalabagan",1991,1,302633,30026
2994,37500,103,0,"kalabagan",1999,1,302633,30026
32,150000,372.5,0,"kalabagan",1983,1,302633,30026
1646,157000,125,0,"dhanmondi",1993,1,302616,30026
940,48000,151.5,0,"gulshan",1992,1,302626,30026
1796,1e+05,54,1,"narayanganj sadar",1994,1,306758,30067
539,25000,110,0,"gendaria",1985,1,302624,30026
3069,45000,160,0,"kaliakair",2000,1,303332,30033
2393,25000,265,0,"singair",1996,1,305682,30056
15,60000,170,0,"badda",1985,1,302604,30026
1360,72000,175,0,"dakshinkhan",1993,1,302610,30026
2232,10000,200,0.5,"new market",1995,1,302663,30026
3188,5e+05,136.5,1,"pallabi",2000,1,302664,30026
982,36000,195.5,0,"gazipur sadar",1992,1,303330,30033
2829,120000,141.5,0.5,"badda",1998,1,302604,30026
1687,36000,120,0,"dhanmondi",1993,1,302616,30026
2648,NA,224.4716134,1,"rupganj",1998,1,306768,30067
2387,46800,26,1,"tejgaon",1996,1,302690,30026
133,75000,150,0.5,"chak bazar",1986,1,302609,30026
852,150000,265,1,"sabujbagh",1991,1,302668,30026
1085,30000,183,0,"tejgaon industrial area",1992,1,302692,30026
1351,1e+05,300,0,"pallabi",1992,1,302664,30026
1876,72000,380,1,"gazipur sadar",1994,1,303330,30033
3158,NA,122,0,"tejgaon",2000,1,302690,30026
105,3e+05,638.5,0,"gazipur sadar",1984,1,303330,30033
2898,5e+05,1380,0,"savar",1999,1,302672,30026
633,48000,115,0,"new market",1986,1,302663,30026
2128,15000,91.5,0,"badda",1995,1,302604,30026
2760,204000,150,0,"badda",1998,1,302604,30026
1208,48000,240,0,"gulshan",1991,1,302626,30026
497,50000,117.5,0,"motijheel",1985,1,302654,30026
3179,60000,310.5,1,"savar",2000,1,302672,30026
1193,48000,163.5,0,"mirpur",1992,1,302648,30026
2163,48000,177.5,0,"savar",1995,1,302672,30026
100,54000,235,0,"mirpur",1985,1,302648,30026
2175,150000,210,0.5,"gulshan",1995,1,302626,30026
757,50000,122.5,0.5,"rampura",1991,1,302667,30026
1408,210000,150,1,"mirpur",1993,1,302648,30026
2635,NA,95,1,"savar",1998,1,302672,30026
1221,72000,500,0,"savar",1992,1,302672,30026
2915,120000,113,0,"mirpur",1999,1,302648,30026
405,410000,167.5,0,"gulshan",1985,1,302626,30026
308,36000,99,0,"savar",1985,1,302672,30026
1157,270000,104.5,1,"narayanganj sadar",1992,1,306758,30067
228,18000,134,0,"ramna",1985,1,302666,30026
574,20000,350,1,"dhanmondi",1988,1,302616,30026
1463,72000,194,0.5,"ramna",1993,1,302666,30026
3051,84000,125.5,0.5,"ramna",2000,1,302666,30026
1985,575000,206,0.5,"rampura",1995,1,302667,30026
1380,36000,140,0,"mirpur",1993,1,302648,30026
639,45000,225,0.5,"mirpur",1986,1,302648,30026
866,60000,91.5,1,"tejgaon industrial area",1991,1,302692,30026
1078,36000,142.5,0,"darus salam",1991,1,302611,30026
2610,70000,229.5,0,"mirpur",1998,1,302648,30026
594,60000,143,0,"tejgaon",1986,1,302690,30026
37,78000,248,0,"tejgaon",1981,1,302690,30026
1679,250000,98,1,"gazipur sadar",1993,1,303330,30033
738,15000,229,0,"savar",1990,1,302672,30026
225,14640,250,0,"new market",1985,1,302663,30026
747,288000,138,1,"pallabi",1989,1,302664,30026
2096,650000,262.5,1,"pallabi",1994,1,302664,30026
821,120000,66,1,"sutrapur",1991,1,302688,30026
3015,NA,224.4716134,0,"kafrul",2000,1,302630,30026
477,36000,121.5,0,"tejgaon",1985,1,302690,30026
1497,25000,110,0,"rampura",1993,1,302667,30026
1197,250000,147,0.5,"shahbag",1992,1,302675,30026
2206,157500,202,0.5,"gazipur sadar",1995,1,303330,30033
1318,121500,164.5,0.5,"gazipur sadar",1992,1,303330,30033
299,60000,400,0,"savar",1985,1,302672,30026
2784,190000,215,0.5,"gazipur sadar",1998,1,303330,30033
2496,60000,100,1,"pallabi",1997,1,302664,30026
3056,120000,254.5,0,"gazipur sadar",2000,1,303330,30033
1067,60000,178,0,"tejgaon",1992,1,302690,30026
2736,60000,120,0,"gazipur sadar",1998,1,303330,30033
3066,37500,103,0,"kalabagan",2000,1,302633,30026
2142,75000,400,1,"chauddagram",1995,1,201931,20019
16,35000,78.5,0,"rampura",1985,1,302667,30026
561,36000,202,0,"narayanganj sadar",1984,1,306758,30067
1453,42000,111,0.5,"narayanganj sadar",1994,1,306758,30067
1874,84000,450,1,"mirpur",1994,1,302648,30026
1739,110000,207.5,0,"dakshinkhan",1994,1,302610,30026
1256,1e+05,202.5,0,"dakshinkhan",1992,1,302610,30026
101,60000,120,0.5,"ramna",1985,1,302666,30026
681,NA,224.4716134,0,"narayanganj sadar",1987,1,306758,30067
1381,120000,267.5,0,"dhanmondi",1993,1,302616,30026
3091,46000,125,0,"kafrul",1991,1,302630,30026
139,25000,132.5,0,"mirpur",1986,1,302648,30026
1536,1e+05,300,0.5,"khilgaon",1992,1,302636,30026
1352,12000,80,0,"tejgaon",1991,1,302690,30026
3215,50000,127.6192883,0,"kafrul",2000,1,302630,30026
528,180000,150,0,"mohammadpur",1985,1,302650,30026
1044,60000,133,0,"kafrul",1992,1,302630,30026
2226,36000,200,1,"gulshan",1996,1,302626,30026
1273,75000,85,1,"narayanganj sadar",1991,1,306758,30067
301,30000,140,0,"uttara, bimanbandar",1986,1,302695,30026
3053,150000,57,1,"mirpur",2000,1,302648,30026
230,60000,140.5,0,"kafrul",1985,1,302630,30026
2743,115000,275.6192883,1,"gazipur sadar",1998,1,303330,30033
2976,91250,54,1,"gazipur sadar",1999,1,303330,30033
2435,170000,1012.5,1,"badda",1997,1,302604,30026
414,90000,230,0,"cantonment",1985,1,302608,30026
1097,80000,210,0,"cantonment",1992,1,302608,30026
1365,150000,167,0,"pallabi",1993,1,302664,30026
998,120000,323.5,0,"pallabi",1991,1,302664,30026
104,10000,100,0,"paltan",1985,1,302665,30026
3038,2e+05,329,0,"badda",1999,1,302604,30026
2591,240000,202,0.5,"pallabi",1998,1,302664,30026
1335,45000,120,0,"pallabi",1992,1,302664,30026
2240,120000,386.5,1,"rupganj",1995,1,306768,30067
1454,8000,165,0,"pallabi",1993,1,302664,30026
1081,48000,365,0,"gazipur sadar",1992,1,303330,30033
3070,30000,171.5,0,"rampura",2000,1,302667,30026
2768,48000,271,0,"rampura",1998,1,302667,30026
704,250000,504.5,0,"gazipur sadar",1989,1,303330,30033
1790,47334,168,0.5,"mirpur",1994,1,302648,30026
2689,50000,86.5,0.5,"mirpur",1998,1,302648,30026
1448,120000,166,0,"kalabagan",1993,1,302633,30026
3174,36000,98,0,"gulshan",2000,1,302626,30026
1617,360000,340,0.5,"mirpur",1993,1,302648,30026
3093,NA,155,1,"gazipur sadar",2000,1,303330,30033
1246,60000,105,0,"gazipur sadar",1992,1,303330,30033
17,2e+05,255,0,"pallabi",1982,1,302664,30026
3059,750000,176,1,"gazipur sadar",2000,1,303330,30033
1551,150000,6,1,"uttara, bimanbandar",1992,1,302695,30026
1247,36000,159,0,"mirpur",1991,1,302648,30026
578,120000,245,0,"tejgaon industrial area",1985,1,302692,30026
2428,30000,244,1,"sonargaon",1997,1,306704,30067
145,160000,617.5,0,"paltan",1984,1,302665,30026
146,120000,336,0,"tejgaon",1985,1,302690,30026
10,250000,668.5,0,"savar",1985,1,302672,30026
1857,150000,46,0.5,"mirpur",1994,1,302648,30026
2016,155570,1125,1,"bhaluka",1995,1,306113,30061
