"bgmea_num","capacity","machine","fac_type","upazila","date_est","exist91","exist01","upaz2011","parent"
2890,"48000",158,0,"gazipur sadar",2000,0,1,303330,30033
930,"72000",130,0,"kotwali",1991,1,1,201541,20015
1690,"84000",210,0,"mirpur",1993,0,1,302648,30026
1998,"18000",38,0,"mirpur",2001,0,1,302648,30026
1173,"80000",120,0,"rampura",1991,1,1,302667,30026
1191,"90000",120,0.5,"mirpur",1992,0,1,302648,30026
2294,"180000",240,0,"pahartali",1996,0,1,201555,20015
1073,"50000",125,0,"pallabi",1992,0,1,302664,30026
1074,"50000",130,0,"gulshan",1992,0,1,302626,30026
1181,"75000",410,0,"new market",1992,0,1,302663,30026
2993,"120000",450,0,"new market",1999,0,1,302663,30026
2966,"38000",205,0,"savar",1999,0,1,302672,30026
1455,"300000",350,0,"pallabi",1993,0,1,302664,30026
1267,"20000",120,0,"dhanmondi",1992,0,1,302616,30026
1275,"35000",62,1,"pallabi",1992,0,1,302664,30026
2234,"18000",177,0,"double mooring",1995,0,1,201528,20015
2201,"200000",95,0.5,"kotwali",1996,0,1,201541,20015
2500,"x",67,1,"gazipur sadar",1997,0,1,303330,30033
2074,"48000",200,1,"rampura",1995,0,1,302667,30026
3039,"90000",165,0,"savar",1999,0,1,302672,30026
3189,"x",2000,0,"mirpur",2000,0,1,302648,30026
979,"60000",154,0,"mirpur",1992,0,1,302648,30026
2860,"60000",120,0,"badda",1997,0,1,302604,30026
1156,"36000",115,1,"mohammadpur",1992,0,1,302650,30026
2586,"72000",104,0.5,"double mooring",1998,0,1,201528,20015
1059,"50000",220,0,"double mooring",1991,1,1,201528,20015
2810,"x",90,1,"narayanganj sadar",1998,0,1,306758,30067
3077,"83000",54,1,"narayanganj sadar",2000,0,1,306758,30067
2809,"x",90,1,"narayanganj sadar",1998,0,1,306758,30067
2837,"x",162,1,"rupganj",1998,0,1,306768,30067
856,"152000",96,0.5,"kaliakair",1991,1,1,303332,30033
661,"85000",120,0.5,"chak bazar",1987,1,1,302609,30026
760,"230000",50,1,"rupganj",1992,0,1,306768,30067
1322,"x",185.2385766,0,"tejgaon industrial area",1992,0,1,302692,30026
3085,"x",113,1,"kaliakair",2000,0,1,303332,30033
1276,"500000",450,1,"kaliakair",1992,0,1,303332,30033
435,"75000",120,0,"gulshan",1985,1,1,302626,30026
2624,"200000",140,0,"kaliakair",1998,0,1,303332,30033
350,"110000",200,0,"khilgaon",1985,1,1,302636,30026
880,"80000",140,1,"kotwali",1991,1,1,201541,20015
1316,"85000",165,0,"gulshan",1992,0,1,302626,30026
1263,"159000",161,0,"mirpur",1991,1,1,302648,30026
1168,"90000",166,0.5,"paltan",1992,0,1,302665,30026
2690,"80000",87,1,"rampura",1998,0,1,302667,30026
116,"96000",110,0,"new market",1985,1,1,302663,30026
2280,"24000",60,0.5,"badda",1996,0,1,302604,30026
1997,"48000",300,1,"tejgaon industrial area",1995,0,1,302692,30026
3110,"18000",95,0,"panchlaish",2000,0,1,201557,20015
2779,"48000",160,0,"uttara, bimanbandar",1998,0,1,302695,30026
3153,"560000",73,0.5,"tejgaon industrial area",2000,0,1,302692,30026
889,"1400000",200,0,"adabor",1991,1,1,302602,30026
3030,"x",59,1,"mirpur",1999,0,1,302648,30026
2930,"150000",66,1,"dakshinkhan",1999,0,1,302610,30026
2540,"72000",150,0.5,"chittagong port",1997,0,1,201520,20015
353,"15000",140,0,"double mooring",1985,1,1,201528,20015
1009,"240000",38,1,"double mooring",1992,0,1,201528,20015
1663,"7500",128,0,"rampura",1993,0,1,302667,30026
2417,"x",98,1,"gazipur sadar",1996,0,1,303330,30033
2154,"180000",120,1,"patiya",1995,0,1,201561,20015
2895,"10000",70,0.5,"bakalia",1999,0,1,201510,20015
1650,"120000",300,0,"mohammadpur",1993,0,1,302650,30026
2342,"14000",85,0,"mohammadpur",1996,0,1,302650,30026
2788,"24000",150,0,"kotwali",1998,0,1,201541,20015
972,"60000",150,0,"kotwali",1992,0,1,201541,20015
3125,"x",52,0,"kotwali",2000,0,1,201541,20015
2297,"110000",400,0,"tejgaon industrial area",1996,0,1,302692,30026
819,"104000",152,1,"rampura",1991,1,1,302667,30026
2722,"120000",480,1,"kotwali",1998,0,1,201541,20015
3072,"x",85,0,"gulshan",2000,0,1,302626,30026
1827,"60000",290,1,"rupganj",1994,0,1,306768,30067
1799,"100000",119,0,"rampura",1994,0,1,302667,30026
2816,"40000",60,0,"gazipur sadar",1998,0,1,303330,30033
85,"80000",155,0,"rupganj",1985,1,1,306768,30067
306,"40000",190,0,"kotwali",1985,1,1,201541,20015
2319,"30000",100,0,"bakalia",1996,0,1,201510,20015
2456,"300000",110,0,"mirpur",1997,0,1,302648,30026
2339,"75000",85,1,"gazipur sadar",1996,0,1,303330,30033
3190,"60000",105,0,"pallabi",2000,0,1,302664,30026
2494,"x",60,1,"narayanganj sadar",1997,0,1,306758,30067
804,"36000",100,0,"kafrul",1991,1,1,302630,30026
468,"50000",105,0,"rampura",1984,1,1,302667,30026
1261,"15600000",169,1,"gazipur sadar",1992,0,1,303330,30033
